index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
73,685680,20171010,90.0,g,DES survey hex -443-400 tiling 8,0.785
74,687840,20171016,90.0,g,DES survey hex -238-532 tiling 9,0.785
75,668648,20170817,90.0,g,DES survey hex 4-24 tiling 7,0.786
76,670441,20170821,90.0,g,DES survey hex 180+26 tiling 8,0.788
77,672410,20170826,90.0,g,DES survey hex 291+37 tiling 9,0.789
78,689632,20171021,90.0,g,DES survey hex -267-14 tiling 9,0.79
79,691286,20171026,90.0,g,DES survey hex 420-643 tiling 8,0.79
80,686443,20171012,90.0,g,DES survey hex -370-450 tiling 8,0.79
81,686434,20171012,90.0,g,DES survey hex -355-420 tiling 8,0.791
82,692069,20171028,90.0,g,DES survey hex 372-14 tiling 8,0.792
83,692502,20171029,90.0,g,DES survey hex 468-176 tiling 8,0.793
84,691299,20171026,90.0,g,DES survey hex 427-542 tiling 8,0.794
85,682042,20170926,90.0,g,DES survey hex 52+26 tiling 8,0.794
86,671998,20170825,90.0,g,DES survey hex -137-491 tiling 8,0.794
87,688517,20171018,90.0,g,DES survey hex 176-410 tiling 7,0.795
88,694244,20171108,90.0,g,DES survey hex -132-532 tiling 9,0.795
89,689641,20171021,90.0,g,DES survey hex -219-4 tiling 9,0.796
90,680468,20170922,90.0,g,DES survey hex -430-501 tiling 8,0.796
91,669999,20170820,90.0,g,DES survey hex -7-471 tiling 7,0.796
92,691298,20171026,90.0,g,DES survey hex 426-562 tiling 8,0.797
93,694184,20171108,90.0,g,DES survey hex 3-65 tiling 9,0.797
94,681665,20170925,90.0,g,DES survey hex 299-197 tiling 8,0.797
95,687781,20171016,90.0,g,DES survey hex -475-562 tiling 9,0.799
96,681650,20170925,90.0,g,DES survey hex 218-217 tiling 8,0.799
97,672749,20170827,90.0,g,DES survey hex 196-45 tiling 8,0.8
98,689770,20171021,90.0,g,DES survey hex 33-511 tiling 9,0.801
99,685664,20171010,90.0,g,DES survey hex -426-521 tiling 8,0.802
100,681234,20170924,90.0,g,DES survey hex 198-146 tiling 7,0.803
101,688903,20171019,90.0,g,DES survey hex 22-440 tiling 8,0.803
102,694164,20171108,90.0,g,DES survey hex -60+16 tiling 8,0.804
103,691278,20171026,90.0,g,DES survey hex 353-623 tiling 8,0.805
104,692100,20171028,90.0,g,DES survey hex 435-75 tiling 9,0.805
105,688200,20171017,90.0,g,DES survey hex 303-308 tiling 7,0.806
106,688246,20171017,90.0,g,DES survey hex 507-532 tiling 7,0.806
107,687850,20171016,90.0,g,DES survey hex -30-440 tiling 8,0.806
108,687750,20171016,90.0,g,DES survey hex -506-410 tiling 9,0.806
109,678742,20170917,90.0,g,DES survey hex -555-511 tiling 8,0.807
110,694153,20171108,90.0,g,DES survey hex -108+6 tiling 8,0.808
