EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
678755,20170917,90.00000000,r,DES survey hex -503-613 tiling 7,0.84400000
672761,20170827,90.00000000,r,DES survey hex 180-55 tiling 8,0.84400000
687861,20171016,90.00000000,r,DES survey hex 20+6 tiling 8,0.84400000
681658,20170925,90.00000000,r,DES survey hex 269-207 tiling 8,0.84400000
692124,20171028,90.00000000,r,DES survey hex 550-126 tiling 8,0.84400000
688927,20171019,90.00000000,r,DES survey hex 100+16 tiling 9,0.84500000
669497,20170819,90.00000000,r,DES survey hex -55-430 tiling 8,0.84800000
682083,20170926,90.00000000,r,DES survey hex 36-4 tiling 8,0.84800000
678929,20170917,90.00000000,r,DES survey hex 164+16 tiling 9,0.84900000
680433,20170922,90.00000000,r,DES survey hex -484-420 tiling 8,0.84900000
680665,20170923,90.00000000,r,DES survey hex -594-582 tiling 9,0.85000000
677270,20170913,90.00000000,r,DES survey hex -325-633 tiling 7,0.85000000
681283,20170924,90.00000000,r,DES survey hex 428-521 tiling 8,0.85000000
682038,20170926,90.00000000,r,DES survey hex 36+16 tiling 8,0.85100000
689798,20171021,90.00000000,r,DES survey hex 221-430 tiling 8,0.85100000
672414,20170826,90.00000000,r,DES survey hex 244+26 tiling 9,0.85200000
681724,20170925,90.00000000,r,DES survey hex 187-278 tiling 8,0.85200000
687860,20171016,90.00000000,r,DES survey hex 4-4 tiling 8,0.85200000
680666,20170923,90.00000000,r,DES survey hex -590-562 tiling 9,0.85300000
694209,20171108,90.00000000,r,DES survey hex -48-542 tiling 9,0.85300000
691269,20171026,90.00000000,r,DES survey hex 287-582 tiling 8,0.85400000
682080,20170926,90.00000000,r,DES survey hex 52+6 tiling 8,0.85500000
678966,20170917,90.00000000,r,DES survey hex 324+16 tiling 8,0.85500000
677213,20170913,90.00000000,r,DES survey hex -530-521 tiling 7,0.85600000
687243,20171014,90.00000000,r,DES survey hex 249-461 tiling 7,0.85600000
689822,20171021,90.00000000,r,DES survey hex 329-501 tiling 8,0.85600000
689772,20171021,90.00000000,r,DES survey hex 28-532 tiling 9,0.85600000
672786,20170827,90.00000000,r,DES survey hex 132-4 tiling 8,0.85600000
678768,20170917,90.00000000,r,DES survey hex -560-552 tiling 8,0.85700000
680677,20170923,90.00000000,r,DES survey hex -578-653 tiling 7,0.85700000
681212,20170924,90.00000000,r,DES survey hex 153-359 tiling 7,0.85700000
689009,20171019,90.00000000,r,DES survey hex 114-298 tiling 8,0.85700000
691280,20171026,90.00000000,r,DES survey hex 385-633 tiling 8,0.85700000
681212,20170924,90.00000000,r,DES survey hex 153-359 tiling 7,0.85700000
694151,20171108,90.00000000,r,DES survey hex -140-14 tiling 8,0.85900000
689828,20171021,90.00000000,r,DES survey hex 376-521 tiling 8,0.85900000
678754,20170917,90.00000000,r,DES survey hex -503-592 tiling 7,0.86000000
678852,20170917,90.00000000,r,DES survey hex -154-582 tiling 8,0.86000000
680778,20170923,90.00000000,r,DES survey hex -25-603 tiling 8,0.86100000
693911,20171107,90.00000000,r,DES survey hex -55-430 tiling 9,0.86100000
694214,20171108,90.00000000,r,DES survey hex -40-633 tiling 9,0.86200000
668047,20170816,90.00000000,r,DES survey hex -122-420 tiling 8,0.86200000
677219,20170913,90.00000000,r,DES survey hex -454-511 tiling 8,0.86300000
677217,20170913,90.00000000,r,DES survey hex -478-521 tiling 8,0.86400000
692105,20171028,90.00000000,r,DES survey hex 484-105 tiling 8,0.86400000
681731,20170925,90.00000000,r,DES survey hex 240-268 tiling 8,0.86500000
686514,20171012,90.00000000,r,DES survey hex 162-542 tiling 8,0.86500000
687537,20171015,90.00000000,r,DES survey hex -433-481 tiling 9,0.86500000
680446,20170922,90.00000000,r,DES survey hex -418-430 tiling 8,0.86600000
686420,20171012,90.00000000,r,DES survey hex -353-481 tiling 8,0.86600000
691692,20171027,90.00000000,r,DES survey hex 393-359 tiling 8,0.86700000
682034,20170926,90.00000000,r,DES survey hex 4+37 tiling 8,0.86700000
687881,20171016,90.00000000,r,DES survey hex 3-65 tiling 8,0.86800000
680833,20170923,90.00000000,r,DES survey hex 164-65 tiling 9,0.86800000
681673,20170925,90.00000000,r,DES survey hex 387-65 tiling 8,0.86900000
689645,20171021,90.00000000,r,DES survey hex -203+6 tiling 9,0.86900000
678751,20170917,90.00000000,r,DES survey hex -504-572 tiling 7,0.87000000
687806,20171016,90.00000000,r,DES survey hex -418-562 tiling 9,0.87000000
691224,20171026,90.00000000,r,DES survey hex 3-613 tiling 9,0.87100000
682019,20170926,90.00000000,r,DES survey hex 4+16 tiling 8,0.87100000
678964,20170917,90.00000000,r,DES survey hex 340+26 tiling 8,0.87100000
686529,20171012,90.00000000,r,DES survey hex 10-390 tiling 8,0.87100000
689045,20171019,90.00000000,r,DES survey hex 340-308 tiling 8,0.87200000
668044,20170816,90.00000000,r,DES survey hex -144-410 tiling 8,0.87200000
669982,20170820,90.00000000,r,DES survey hex -163-461 tiling 8,0.87300000
692090,20171028,90.00000000,r,DES survey hex 435-14 tiling 8,0.87300000
677222,20170913,90.00000000,r,DES survey hex -456-491 tiling 7,0.87300000
672745,20170827,90.00000000,r,DES survey hex 212-14 tiling 8,0.87300000
670445,20170821,90.00000000,r,DES survey hex 212+26 tiling 8,0.87400000
689806,20171021,90.00000000,r,DES survey hex 224-450 tiling 8,0.87400000
681570,20170925,90.00000000,r,DES survey hex -105-653 tiling 9,0.87600000
681652,20170925,90.00000000,r,DES survey hex 235-207 tiling 8,0.87600000
672721,20170827,90.00000000,r,DES survey hex 52+47 tiling 8,0.87600000
682458,20170927,90.00000000,r,DES survey hex 22-440 tiling 8,0.87700000
691704,20171027,90.00000000,r,DES survey hex 631-562 tiling 7,0.87700000
691234,20171026,90.00000000,r,DES survey hex 13-369 tiling 9,0.87700000
680440,20170922,90.00000000,r,DES survey hex -441-420 tiling 8,0.87700000
682068,20170926,90.00000000,r,DES survey hex 116+26 tiling 9,0.87800000
678774,20170917,90.00000000,r,DES survey hex -531-542 tiling 8,0.87800000
672409,20170826,90.00000000,r,DES survey hex 291+37 tiling 9,0.88000000
688934,20171019,90.00000000,r,DES survey hex 57-329 tiling 8,0.88000000
678921,20170917,90.00000000,r,DES survey hex 196-24 tiling 9,0.88000000
682093,20170926,90.00000000,r,DES survey hex 100+37 tiling 9,0.88100000
672425,20170826,90.00000000,r,DES survey hex 228+16 tiling 9,0.88100000
672008,20170825,90.00000000,r,DES survey hex -39-491 tiling 8,0.88200000
681663,20170925,90.00000000,r,DES survey hex 299-197 tiling 8,0.88400000
689270,20171020,90.00000000,r,DES survey hex -186-410 tiling 9,0.88400000
680448,20170922,90.00000000,r,DES survey hex -436-461 tiling 7,0.88500000
688958,20171019,90.00000000,r,DES survey hex 16-349 tiling 8,0.88500000
686463,20171012,90.00000000,r,DES survey hex -182-653 tiling 9,0.88600000
689033,20171019,90.00000000,r,DES survey hex 281-308 tiling 8,0.88600000
681555,20170925,90.00000000,r,DES survey hex -254-633 tiling 8,0.88700000
693199,20171031,90.00000000,r,DES survey hex 475-440 tiling 8,0.88700000
689834,20171021,90.00000000,r,DES survey hex 372-542 tiling 8,0.88800000
691223,20171026,90.00000000,r,DES survey hex -25-603 tiling 9,0.88800000
668690,20170817,90.00000000,r,DES survey hex 279-562 tiling 6,0.88800000
681213,20170924,90.00000000,r,DES survey hex 133-369 tiling 7,0.88800000
692057,20171028,90.00000000,r,DES survey hex 324-4 tiling 8,0.88900000
678760,20170917,90.00000000,r,DES survey hex -594-582 tiling 8,0.88900000
677255,20170913,90.00000000,r,DES survey hex -345-532 tiling 8,0.89000000
685385,20171009,90.00000000,r,DES survey hex -473-582 tiling 8,0.89000000
687839,20171016,90.00000000,r,DES survey hex -238-532 tiling 9,0.89100000
691250,20171026,90.00000000,r,DES survey hex 134-471 tiling 8,0.89100000
689763,20171021,90.00000000,r,DES survey hex 292-4 tiling 8,0.89100000
680684,20170923,90.00000000,r,DES survey hex -503-592 tiling 8,0.89200000
689333,20171020,90.00000000,r,DES survey hex 265-521 tiling 8,0.89300000
687951,20171016,90.00000000,r,DES survey hex 302-420 tiling 8,0.89300000
670479,20170821,90.00000000,r,DES survey hex 212+47 tiling 8,0.89300000
668716,20170817,90.00000000,r,DES survey hex 265-521 tiling 6,0.89300000
681651,20170925,90.00000000,r,DES survey hex 236-227 tiling 8,0.89300000
678897,20170917,90.00000000,r,DES survey hex 84-14 tiling 8,0.89500000
691232,20171026,90.00000000,r,DES survey hex 16-349 tiling 9,0.89500000
668709,20170817,90.00000000,r,DES survey hex 209-501 tiling 6,0.89500000
689020,20171019,90.00000000,r,DES survey hex 207-308 tiling 8,0.89700000
691688,20171027,90.00000000,r,DES survey hex 335-349 tiling 8,0.89700000
681703,20170925,90.00000000,r,DES survey hex 58-308 tiling 8,0.89900000
681735,20170925,90.00000000,r,DES survey hex 276-268 tiling 8,0.89900000
680896,20170923,90.00000000,r,DES survey hex 80-237 tiling 8,0.89900000
672801,20170827,90.00000000,r,DES survey hex 196+16 tiling 9,0.89900000
687849,20171016,90.00000000,r,DES survey hex -30-440 tiling 8,0.90000000
