index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
187,680664,20170923,90.0,z,DES survey hex -594-582 tiling 9,0.977
188,692384,20171029,90.0,z,DES survey hex 71-400 tiling 8,0.978
189,692384,20171029,90.0,z,DES survey hex 71-400 tiling 8,0.978
190,675594,20170907,90.0,z,DES survey hex -549-430 tiling 9,0.978
191,693016,20171031,90.0,z,DES survey hex 301-176 tiling 7,0.978
192,693058,20171031,90.0,z,DES survey hex 157-461 tiling 8,0.978
193,693007,20171031,90.0,z,DES survey hex 205-288 tiling 7,0.979
194,693190,20171031,90.0,z,DES survey hex 453-430 tiling 8,0.979
195,677391,20170913,90.0,z,DES survey hex 261-65 tiling 8,0.98
196,692379,20171029,90.0,z,DES survey hex 261-85 tiling 8,0.98
197,692975,20171031,90.0,z,DES survey hex -336-582 tiling 9,0.981
198,692358,20171029,90.0,z,DES survey hex 115-217 tiling 7,0.981
199,691896,20171028,90.0,z,DES survey hex -217-623 tiling 9,0.981
200,691197,20171026,90.0,z,DES survey hex 17-572 tiling 8,0.981
201,693120,20171031,90.0,z,DES survey hex 419-146 tiling 8,0.982
202,690820,20171025,90.0,z,DES survey hex -151-603 tiling 8,0.982
203,686480,20171012,90.0,z,DES survey hex -275-582 tiling 8,0.983
204,681230,20170924,90.0,z,DES survey hex 148+6 tiling 8,0.983
205,691998,20171028,90.0,z,DES survey hex -32-582 tiling 9,0.983
206,693008,20171031,90.0,z,DES survey hex 221-258 tiling 7,0.983
208,691942,20171028,90.0,z,DES survey hex -39-491 tiling 9,0.986
209,674338,20170901,90.0,z,DES survey hex -276-450 tiling 8,0.988
210,690816,20171025,90.0,z,DES wide hex 4+37 tiling 9,0.988
211,677365,20170913,90.0,z,DES survey hex 228-4 tiling 9,0.988
212,694370,20171108,90.0,z,DES survey hex 561-532 tiling 8,0.988
213,674328,20170901,90.0,z,DES survey hex -249-400 tiling 8,0.989
214,691953,20171028,90.0,z,DES survey hex 37-339 tiling 8,0.99
215,681541,20170925,90.0,z,DES survey hex -309-592 tiling 7,0.99
216,691175,20171026,90.0,z,DES survey hex 36-24 tiling 8,0.99
217,691179,20171026,90.0,z,DES survey hex 52+6 tiling 8,0.991
218,691893,20171028,90.0,z,DES survey hex -315-521 tiling 9,0.991
219,674339,20170901,90.0,z,DES survey hex -253-440 tiling 8,0.992
220,674339,20170901,90.0,z,DES survey hex -253-440 tiling 8,0.992
221,691895,20171028,90.0,z,DES survey hex -216-603 tiling 9,0.993
222,690821,20171025,90.0,z,DES survey hex -149-623 tiling 8,0.993
223,693056,20171031,90.0,z,DES survey hex 111-461 tiling 8,0.993
224,693115,20171031,90.0,z,DES survey hex 435-176 tiling 8,0.993
225,693046,20171031,90.0,z,DES survey hex 426-562 tiling 7,0.994
226,693055,20171031,90.0,z,DES survey hex 88-450 tiling 8,0.995
227,691203,20171026,90.0,z,DES survey hex -2-542 tiling 8,0.996
228,678953,20170917,90.0,z,DES survey hex 196-24 tiling 9,0.997
229,693025,20171031,90.0,z,DES survey hex 188-298 tiling 8,0.997
230,693184,20171031,90.0,z,DES survey hex 405-491 tiling 9,0.998
231,681539,20170925,90.0,z,DES survey hex -302-572 tiling 7,0.999
232,692048,20171028,90.0,z,DES survey hex 276-14 tiling 8,0.999
233,691929,20171028,90.0,z,DES survey hex -41-562 tiling 9,0.999
234,674351,20170901,90.0,z,DES survey hex -234-491 tiling 8,0.999
235,692055,20171028,90.0,z,DES survey hex 276+6 tiling 8,1.001
236,689603,20171021,90.0,z,DES survey hex -374-430 tiling 9,1.002
237,693052,20171031,90.0,z,DES survey hex 133-430 tiling 8,1.004
238,691958,20171028,90.0,z,DES survey hex 51-390 tiling 9,1.004
239,681905,20170926,90.0,z,DES survey hex -439-440 tiling 7,1.004
240,692400,20171029,90.0,z,DES survey hex 153-379 tiling 8,1.005
241,691180,20171026,90.0,z,DES survey hex 36-4 tiling 8,1.005
242,686462,20171012,90.0,z,DES survey hex -355-410 tiling 8,1.005
