index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
214,687866,20171016,90.0,i,DES survey hex -232-471 tiling 9,1.05
215,672759,20170827,90.0,i,DES survey hex 164-65 tiling 8,1.05
216,681633,20170925,90.0,i,DES survey hex 132-227 tiling 8,1.051
217,670443,20170821,90.0,i,DES survey hex 196+16 tiling 8,1.051
218,681603,20170925,90.0,i,DES survey hex 85-491 tiling 8,1.051
219,670477,20170821,90.0,i,DES survey hex 228+37 tiling 8,1.053
220,692079,20171028,90.0,i,DES survey hex 404+6 tiling 8,1.053
221,687887,20171016,90.0,i,DES survey hex 4-45 tiling 9,1.054
222,681916,20170926,90.0,i,DES survey hex -529-481 tiling 9,1.054
223,689643,20171021,90.0,i,DES survey hex -219-4 tiling 9,1.055
224,689818,20171021,90.0,i,DES survey hex 280-491 tiling 8,1.055
225,691670,20171027,90.0,i,DES survey hex 229-339 tiling 8,1.055
226,688997,20171019,90.0,i,DES survey hex 39-318 tiling 9,1.055
227,672078,20170825,90.0,i,DES wide hex 475-440 tiling 10,1.056
228,692119,20171028,90.0,i,DES survey hex 517-126 tiling 8,1.056
229,672078,20170825,90.0,i,DES wide hex 475-440 tiling 10,1.056
230,689298,20171020,90.0,i,DES survey hex 166-207 tiling 8,1.058
231,689784,20171021,90.0,i,DES survey hex 133-410 tiling 8,1.059
232,668683,20170817,90.0,i,DES survey hex 253-572 tiling 6,1.06
233,681631,20170925,90.0,i,DES survey hex 115-217 tiling 8,1.061
234,681537,20170925,90.0,i,DES survey hex -238-532 tiling 8,1.062
235,668704,20170817,90.0,i,DES survey hex 185-511 tiling 6,1.062
236,692127,20171028,90.0,i,DES survey hex 567-136 tiling 8,1.062
237,670381,20170821,90.0,i,DES survey hex -258-653 tiling 7,1.062
238,680443,20170922,90.0,i,DES survey hex -441-420 tiling 7,1.064
239,670457,20170821,90.0,i,DES survey hex 276+26 tiling 8,1.065
240,691658,20171027,90.0,i,DES survey hex 227-318 tiling 8,1.066
241,668056,20170816,90.0,i,DES survey hex -75-440 tiling 8,1.067
242,691209,20171026,90.0,i,DES survey hex 17-572 tiling 9,1.067
243,681489,20170925,90.0,i,DES survey hex -475-562 tiling 8,1.067
244,692125,20171028,90.0,i,DES survey hex 550-126 tiling 8,1.071
245,692044,20171028,90.0,i,DES survey hex 308+6 tiling 9,1.071
246,678998,20170917,90.0,i,DES survey hex 307-55 tiling 7,1.072
247,669488,20170819,90.0,i,DES survey hex -117-461 tiling 8,1.072
248,686453,20171012,90.0,i,DES survey hex -294-420 tiling 8,1.076
249,681605,20170925,90.0,i,DES survey hex 109-501 tiling 8,1.076
250,689809,20171021,90.0,i,DES survey hex 249-461 tiling 8,1.077
251,680653,20170923,90.0,i,DES survey hex -482-461 tiling 8,1.077
252,672091,20170825,90.0,i,DES wide hex 509-318 tiling 10,1.08
253,680464,20170922,90.0,i,DES survey hex -456-491 tiling 8,1.08
254,668718,20170817,90.0,i,DES survey hex 286-481 tiling 6,1.081
255,680678,20170923,90.0,i,DES survey hex -539-643 tiling 8,1.083
256,681954,20170926,90.0,i,DES survey hex -363+6 tiling 7,1.085
257,680505,20170922,90.0,i,DES survey hex -231-450 tiling 9,1.085
258,681273,20170924,90.0,i,DES survey hex 419-65 tiling 8,1.086
259,689039,20171019,90.0,i,DES survey hex 303-308 tiling 8,1.087
260,672072,20170825,90.0,i,DES wide hex 454-511 tiling 10,1.087
261,679000,20170917,90.0,i,DES survey hex 355-65 tiling 8,1.089
262,680691,20170923,90.0,i,DES survey hex -436-613 tiling 8,1.09
263,680698,20170923,90.0,i,DES survey hex -399-623 tiling 8,1.09
264,672785,20170827,90.0,i,DES survey hex 132-4 tiling 8,1.09
265,677375,20170913,90.0,i,DES survey hex 427-542 tiling 8,1.091
266,689801,20171021,90.0,i,DES survey hex 245-440 tiling 8,1.091
267,692088,20171028,90.0,i,DES survey hex 451-24 tiling 8,1.093
268,669980,20170820,90.0,i,DES survey hex -186-450 tiling 8,1.093
269,691265,20171026,90.0,i,DES survey hex 254-481 tiling 8,1.094
270,689742,20171021,90.0,i,DES survey hex 339-75 tiling 8,1.094
271,681913,20170926,90.0,i,DES survey hex -554-491 tiling 9,1.094
