index,EXPNUM,NITE,EXPTIME,BAND,OBJECT,T_EFF
288,672772,20170827,90.0,r,DES survey hex 212+26 tiling 9,0.924
289,668657,20170817,90.0,r,DES survey hex 34-623 tiling 6,0.925
290,668627,20170817,90.0,r,DES survey hex -40-633 tiling 8,0.926
291,682127,20170926,90.0,r,DES survey hex 41-298 tiling 8,0.926
292,681602,20170925,90.0,r,DES survey hex 85-491 tiling 8,0.927
293,677273,20170913,90.0,r,DES survey hex -286-623 tiling 7,0.928
294,689035,20171019,90.0,r,DES survey hex 286-298 tiling 8,0.928
295,689294,20171020,90.0,r,DES survey hex 149-197 tiling 8,0.929
296,680692,20170923,90.0,r,DES survey hex -436-613 tiling 8,0.932
297,680692,20170923,90.0,r,DES survey hex -436-613 tiling 8,0.932
298,687813,20171016,90.0,r,DES survey hex -360-562 tiling 9,0.932
299,682464,20170927,90.0,r,DES survey hex 26-420 tiling 8,0.933
300,681727,20170925,90.0,r,DES survey hex 204-268 tiling 8,0.933
301,681648,20170925,90.0,r,DES survey hex 218-217 tiling 8,0.933
302,681590,20170925,90.0,r,DES survey hex 4-521 tiling 8,0.933
303,681727,20170925,90.0,r,DES survey hex 204-268 tiling 8,0.933
304,670460,20170821,90.0,r,DES survey hex 291+37 tiling 8,0.936
305,672389,20170826,90.0,r,DES survey hex 198-146 tiling 8,0.936
306,680693,20170923,90.0,r,DES survey hex -431-633 tiling 8,0.937
307,670391,20170821,90.0,r,DES survey hex -80-623 tiling 8,0.938
308,678918,20170917,90.0,r,DES survey hex 196-4 tiling 9,0.939
309,678923,20170917,90.0,r,DES survey hex 196-45 tiling 9,0.939
310,678746,20170917,90.0,r,DES survey hex -505-511 tiling 8,0.94
311,694238,20171108,90.0,r,DES survey hex -103-542 tiling 9,0.94
312,678979,20170917,90.0,r,DES survey hex 486-227 tiling 8,0.94
313,687814,20171016,90.0,r,DES survey hex -352-582 tiling 9,0.941
314,668667,20170817,90.0,r,DES survey hex 161-521 tiling 6,0.941
315,670480,20170821,90.0,r,DES survey hex 244+6 tiling 8,0.943
316,689042,20171019,90.0,r,DES survey hex 323-298 tiling 8,0.943
317,689647,20171021,90.0,r,DES survey hex -208-420 tiling 9,0.943
318,682065,20170926,90.0,r,DES survey hex 116+6 tiling 9,0.944
319,689665,20171021,90.0,r,DES survey hex -2-339 tiling 7,0.944
320,672398,20170826,90.0,r,DES survey hex 228-4 tiling 9,0.945
321,670001,20170820,90.0,r,DES survey hex -2-450 tiling 7,0.945
322,689744,20171021,90.0,r,DES survey hex 355-85 tiling 8,0.945
323,681688,20170925,90.0,r,DES survey hex 100-643 tiling 9,0.945
324,678903,20170917,90.0,r,DES survey hex 116-14 tiling 8,0.946
325,670442,20170821,90.0,r,DES survey hex 196+16 tiling 8,0.946
326,689826,20171021,90.0,r,DES survey hex 352-511 tiling 8,0.947
327,692098,20171028,90.0,r,DES survey hex 419-65 tiling 9,0.947
328,694194,20171108,90.0,r,DES survey hex -61-501 tiling 9,0.948
329,680836,20170923,90.0,r,DES survey hex 148-34 tiling 9,0.948
